codmicro,nomemicro,longitude,latitude
11001,Porto Velho,-64.10481894988725,-9.447687078236708
11002,Guajará-Mirim,-64.08363060094595,-11.691507592750389
11003,Ariquemes,-62.542699522165364,-9.598527124787665
11004,Ji-Paraná,-62.357098564112675,-10.630576457765619
11005,Alvorada D'Oeste,-62.832963373098785,-11.599781140933345
11006,Cacoal,-61.667509798444506,-11.836902140027274
11007,Vilhena,-60.67427382091324,-12.132229452310142
11008,Colorado do Oeste,-61.30321841285226,-13.096410377835147
12001,Cruzeiro do Sul,-72.89335946515304,-8.313741067576617
12002,Tarauacá,-71.24818343686593,-8.829583636668506
12003,Sena Madureira,-69.69168022907982,-9.701104011747947
12004,Rio Branco,-67.93908451703867,-9.946743839818394
12005,Brasiléia,-68.988094133484,-10.716629235319239
13001,Rio Negro,-65.13051584936943,-0.3405351543162678
13002,Japurá,-67.55640049999398,-1.8678368560259222
13003,Alto Solimões,-69.69748943859553,-4.758926196926078
13004,Juruá,-68.89264905540163,-6.127841347844037
13005,Tefé,-65.46917910770635,-4.019783679808941
13006,Coari,-63.22025189250005,-4.12205328347182
13007,Manaus,-60.249428309464996,-3.3059309852974765
13008,Rio Preto da Eva,-59.923126521780695,-1.5877171864699722
13009,Itacoatiara,-58.56097871088345,-3.1481012370048154
13010,Parintins,-58.199779937559676,-2.90750525204085
13011,Boca do Acre,-68.19483933144973,-8.116957347158255
13012,Purus,-65.10173848811975,-7.140166899030516
13013,Madeira,-60.544117765759225,-6.682303734347118
14001,Boa Vista,-62.17207909879157,3.5231404410230613
14002,Nordeste de Roraima,-60.216560694173666,3.3773915888786736
14003,Caracaraí,-61.72151042123861,1.4842771255322995
14004,Sudeste de Roraima,-60.495480796149515,0.3186044682581415
15001,Óbidos,-56.891589287612675,-0.10380903780200712
15002,Santarém,-54.66491586039483,-1.8461117182739557
15003,Almeirim,-53.62533367629159,-0.20706953146612941
15004,Portel,-51.0154751817136,-2.135071546506336
15005,Furos de Breves,-50.37396613498882,-0.8872999872214039
15006,Arari,-49.364091564295734,-0.5228280882394161
15007,Belém,-48.49333695652704,-1.36110611571018
15008,Castanhal,-48.03146491724927,-1.3831495391378748
15009,Salgado,-47.78264819989282,-0.8227653998503498
15010,Bragantina,-47.072825143432674,-1.149667241903499
15011,Cametá,-49.531455926088974,-2.3495539554838047
15012,Tomé-Açu,-48.77785890203841,-2.7306789441118804
15013,Guamá,-47.19326810542557,-2.076217382896064
15014,Itaituba,-56.42322824773843,-6.451889525317966
