location,population
Porto Velho,426640.0
Guajar<e1>-Mirim,61321.0
Ariquemes,143809.0
Ji-Paran<e1>,306896.0
Alvorada D'Oeste,74460.0
Cacoal,227135.0
Vilhena,107857.0
Colorado Oeste,59768.0
Cruzeiro do Sul,103208.0
Tarauac<e1>,58662.0
Sena Madureira,39073.0
Rio Branco,328893.0
Brasil<e9>ia,44519.0
Rio Negro AM,75584.0
Japur<e1>,27909.0
Alto Solim<f5>es,206778.0
Juru<e1>,115109.0
Tef<e9>,89176.0
Coari,127317.0
Manaus,1643417.0
R.Preto da Eva,40307.0
Itacoatiara,125492.0
Parintins,211402.0
Boca do Acre,44363.0
Purus,60596.0
Madeira,132790.0
Boa Vista,239904.0
Nordeste RR,30751.0
Caracara<ed>,31208.0
Sudeste RR,35374.0
<d3>bidos,154251.0
Santar<e9>m,435025.0
Almeirim,57383.0
Portel,98110.0
Furos de Breves,169473.0
Arari,119646.0
Bel<e9>m,1908700.0
Castanhal,232385.0
Salgado,220543.0
Bragantina,334713.0
Camet<e1>,360154.0
Tom<e9>-A<e7>u,218379.0
Guam<e1>,370738.0
Itaituba,204574.0
Altamira,229706.0
Tucuru<ed>,261385.0
Paragominas,224216.0
S.F<e9>lix Xingu,90906.0
Parauapebas,160550.0
Marab<e1>,222211.0
Reden<e7><e3>o,166141.0
Conc.Araguaia,102547.0
Oiapoque,20467.0
Amap<e1>,16966.0
Macap<e1>,410258.0
Mazag<e3>o,51044.0
Bico Papagaio,178024.0
Aragua<ed>na,234422.0
Miracema TO,137622.0
Rio Formoso,104041.0
Gurupi TO,122789.0
Porto Nacional,232417.0
Jalap<e3>o,62759.0
Dian<f3>polis,112821.0
Litoral Ocid.MA,175196.0
S<e3>o Lu<ed>s,1098926.0
Ros<e1>rio,134356.0
Len<e7><f3>is MA,132829.0
Baixada MA,489270.0
Itapecuru Mirim,153479.0
Gurupi MA,185869.0
Pindar<e9>,558471.0
Imperatriz,516307.0
M<e9>dio Mearim,396052.0
A.Mearim/Graja<fa>,269347.0
Pres. Dutra,178535.0
B.Parna<ed>ba MA,122989.0
Chapadinha,181117.0
Cod<f3>,243953.0
Coelho Neto,75470.0
Caxias,368259.0
Chap.Itapecuru,190210.0
Porto Franco,90782.0
Gerais Balsas,107571.0
Chap.Mangab.,61479.0
B.Parna<ed>ba PI,306030.0
Litoral PI,276211.0
Teresina,893917.0
Campo Maior,211108.0
M.Parna<ed>ba PI,125950.0
Valen<e7>a PI,103869.0
A.Parna<ed>ba PI,37005.0
Bertol<ed>nia,38442.0
Floriano,119667.0
A.M.Gurgu<e9>ia,78125.0
S.Raim.Nonato,122355.0
Chap.Ext.Sul PI,77298.0
Picos,187050.0
Pio IX,52767.0
A.M.Canind<e9>,243216.0
Camocim/Acara<fa>,321656.0
Ibiapaba,262973.0
Corea<fa>,51074.0
Meruoca,21114.0
Sobral,332412.0
Ipu,137061.0
Santa Quit<e9>ria,69579.0
Itapipoca,175206.0
Baixo Curu,90619.0
Uruburetama,88013.0
M<e9>dio Curu,75543.0
Canind<e9>,113282.0
Baturit<e9>,173783.0
Chorozinho,58065.0
Cascavel CE,116676.0
Fortaleza,2909748.0
Pacajus,81000.0
Sert<e3>o Crat<e9>us,234374.0
Quixeramobim,236443.0
Sert<e3>o Inhamuns,138970.0
Senador Pompeu,208016.0
Litoral Aracati,97795.0
Baixo Jaguaribe,291040.0
M<e9>dio Jaguaribe,62335.0
Serra Pereiro,40267.0
Iguatu,211442.0
V<e1>rzea Alegre,92399.0
Lavr.Mangabeira,55847.0
Chap.Araripe,90032.0
Cariria<e7>u,58087.0
Barro,88689.0
Cariri,474939.0
Brejo Santo,89141.0
Mossor<f3>,277382.0
Chap.Apodi,70490.0
M<e9>dio Oeste,37369.0
Vale do A<e7>u,126202.0
Serra S.Miguel,59028.0
Pau dos Ferros,112813.0
Umarizal,63691.0
Macau,45144.0
Angicos,50644.0
Serra Santana,61240.0
Serid<f3> Ocid.,90480.0
Serid<f3> Oriental,115072.0
Baixa Verde,57457.0
Borborema RN,126275.0
Agreste RN,208486.0
Litoral NE,76690.0
Maca<ed>ba,247304.0
Natal,874487.0
Litoral Sul RN,114990.0
Catol<e9> do Rocha,107311.0
Cajazeiras,157828.0
Sousa,173879.0
Patos,118552.0
Pianc<f3>,71505.0
Itaporanga,83047.0
Serra Teixeira,108396.0
Serid<f3> Ocid.PB,36861.0
Serid<f3> Or.PB,67596.0
Cariri Ocid.,113367.0
Cariri Oriental,60172.0
Curimata<fa> Ocid.,107846.0
Curimata<fa> Or.,93594.0
Esperan<e7>a,48398.0
Brejo PB,118086.0
Guarabira,159345.0
Campina Grande,467237.0
Itabaiana,106487.0
Umbuzeiro,54233.0
Litoral Norte,130118.0
Sap<e9>,123889.0
Jo<e3>o Pessoa,885384.0
Litoral Sul PB,75463.0
Araripina,280201.0
Salgueiro,152558.0
Paje<fa>,297330.0
Sert<e3>o Moxot<f3>,185784.0
Petrolina,358104.0
Itaparica,117480.0
Vale do Ipanema,162648.0
Vale do Ipojuca,752329.0
Alto Capibaribe,216626.0
M.Capibaribe,252975.0
Garanhuns,416234.0
Brejo PE,211712.0
Mata Set.PE,506492.0
Vit<f3>ria S.Ant<e3>o,200017.0
Mata Merid.PE,508874.0
Itamarac<e1>,135954.0
Recife,3033864.0
Suape,216929.0
Fern.Noronha,2096.0
