population,micro_code,micro_name,longitude,latitude
426640.0,11001,Porto Velho,-64.10481894988725,-9.447687078236708
61321.0,11002,Guajará-Mirim,-64.08363060094595,-11.691507592750389
143809.0,11003,Ariquemes,-62.54269952216536,-9.598527124787664
306896.0,11004,Ji-Paraná,-62.35709856411268,-10.63057645776562
74460.0,11005,Alvorada D'Oeste,-62.83296337309879,-11.599781140933343
227135.0,11006,Cacoal,-61.667509798444506,-11.836902140027274
107857.0,11007,Vilhena,-60.67427382091324,-12.132229452310142
59768.0,11008,Colorado do Oeste,-61.30321841285226,-13.096410377835149
103208.0,12001,Cruzeiro do Sul,-72.89335946515304,-8.313741067576617
58662.0,12002,Tarauacá,-71.24818343686593,-8.829583636668506
39073.0,12003,Sena Madureira,-69.69168022907982,-9.701104011747947
328893.0,12004,Rio Branco,-67.93908451703867,-9.946743839818394
44519.0,12005,Brasiléia,-68.988094133484,-10.71662923531924
75584.0,13001,Rio Negro,-65.13051584936943,-0.3405351543162678
27909.0,13002,Japurá,-67.55640049999398,-1.8678368560259224
206778.0,13003,Alto Solimões,-69.69748943859553,-4.758926196926078
115109.0,13004,Juruá,-68.89264905540163,-6.127841347844037
89176.0,13005,Tefé,-65.46917910770635,-4.019783679808941
127317.0,13006,Coari,-63.22025189250005,-4.12205328347182
1643417.0,13007,Manaus,-60.249428309465,-3.3059309852974765
40307.0,13008,Rio Preto da Eva,-59.923126521780695,-1.5877171864699722
125492.0,13009,Itacoatiara,-58.56097871088345,-3.148101237004816
211402.0,13010,Parintins,-58.19977993755968,-2.90750525204085
44363.0,13011,Boca do Acre,-68.19483933144973,-8.116957347158255
60596.0,13012,Purus,-65.10173848811975,-7.140166899030516
132790.0,13013,Madeira,-60.544117765759225,-6.682303734347118
239904.0,14001,Boa Vista,-62.17207909879157,3.5231404410230613
30751.0,14002,Nordeste de Roraima,-60.21656069417367,3.3773915888786736
31208.0,14003,Caracaraí,-61.72151042123861,1.4842771255322995
35374.0,14004,Sudeste de Roraima,-60.49548079614952,0.3186044682581415
154251.0,15001,Óbidos,-56.89158928761268,-0.1038090378020071
435025.0,15002,Santarém,-54.66491586039483,-1.846111718273956
57383.0,15003,Almeirim,-53.62533367629159,-0.2070695314661294
98110.0,15004,Portel,-51.0154751817136,-2.135071546506336
169473.0,15005,Furos de Breves,-50.37396613498882,-0.8872999872214039
119646.0,15006,Arari,-49.36409156429573,-0.5228280882394161
